object_property_label,owl_inverseOf,rdfs_domain,rdfs_range,cco_definition,cco_elucidation,skos_definition,skos_example,object_property_uri,rdf_type,rdfs_subPropertyOf
interval is before,,one-dimensional temporal region,one-dimensional temporal region,"A TemporalInterval INT1 is before some TemporalInterval INT2 iff there exists TemporalInstants inst1, inst2 such that inst1 is the ending instant of INT1 and inst2 is the starting instant of INT2 and inst1 is before inst2.",,,,cco:interval_is_before,owl:ObjectProperty,interval disjoint
located in,,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],,,b located in c =Def b is an independent continuant & c is an independent & neither is a spatial region & there is some time t such that the spatial region which b occupies at t is continuant part of the spatial region which c occupies at t,,obo:BFO_0000171,owl:ObjectProperty,
is measured by,,,cco:MeasurementInformationContentEntity,"y is_measured_by x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to some scale or classification scheme.",,,,cco:is_measured_by,owl:ObjectProperty,described by
prohibits,,cco:ActionRegulation,process,"x prohibits y at t iff: x is an instance of Action Regulation at time t, and y is an instance of Act at time t, and x prescribes that some agent must not be agent in y.",,,,cco:prohibits,owl:ObjectProperty,prescribes
capability of,has capability,cco:AgentCapability,cco:Agent,"x capability_of y iff y is an instance of Agent and x is an instance of Agent Capability, such that x inheres in y.",,,,cco:capability_of,owl:ObjectProperty,inheres in
designates,,cco:DesignativeInformationContentEntity,,"x designates y iff x is an instance of an Information Content Entity, and y is an instance of an Entity, such that given some context, x uniquely distinguishes y from other entities.",,,,cco:designates,owl:ObjectProperty,is about
uses language,,cco:InformationBearingEntity,cco:Language,x uses_language y iff x is an instance of an Information Bearing Entity and y is an instance of a Language such that the literal value of x is a string that is encoded according to the syntax of y.,,,,cco:uses_language,owl:ObjectProperty,prescribed by
is mentioned by,,,,"y is_mention_by x iff x is an instance Information Bearing Entity and y is an instance Entity, such that x is used as a reference to y.",,,,cco:is_mentioned_by,owl:ObjectProperty,
partially overlaps with,,immaterial entity,immaterial entity,An immaterial entity im1 partially overlaps with some immaterial entity im2 iff im1 overlaps with im2 and im1 is not a spatial part of im2 and im2 is not a spatial part of im1.,,,,cco:partially_overlaps_with,owl:ObjectProperty,connected with
participates in,has participant,[ rdf:type owl:Class ; owl:unionOf ( specifically dependent continuant generically dependent continuant [ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ] ) ],process,,,(Elucidation) participates in holds between some b that is either a specifically dependent continuant or generically dependent continuant or independent continuant that is not a spatial region & some process p such that b participates in p some way,,obo:BFO_0000056,owl:ObjectProperty,
specifically depended on by,specifically depends on,[ rdf:type owl:Class ; owl:unionOf ( specifically dependent continuant [ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ] ) ],specifically dependent continuant,,,b specifically depended on by c =Def c specifically depends on b,Coloured object specifically depended on by colour,obo:BFO_0000194,owl:ObjectProperty,
has member of located in,,object aggregate,material entity,An instance of an Object Aggregate 'has member of located in' an instance of some material entity if and only if every member of that Aggregate is located in the same instance of that material entity.,,,,cco:has_member_of_located_in,owl:ObjectProperty,
has sender,sends,,cco:Agent,"y has_sender x iff x is an instance of Agent and y is an instance of Act Of Communication, such that x is the initiator and encoder of the InformationContentEntity intended for communication in y.",,,,cco:has_sender,owl:ObjectProperty,has participant
has temporal part,temporal part of,occurrent,occurrent,,,b has temporal part c =Def c temporal part of b,Your life has temporal part the first year of your life,obo:BFO_0000121,owl:TransitiveProperty; owl:ObjectProperty,has occurrent part
is ancestor of,is descendent of,,,,,,,cco:is_ancestor_of,owl:ObjectProperty,has familial relationship to
interval finished by,interval finishes,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT2 is finished by some Temporal Interval INT1 iff there exists Temporal Instants inst1, inst2, and inst3 such that inst 1 is the starting instant of INT1, inst2 is the ending instant of both INT1 and INT2, inst3 is the starting instant of INT2, and inst3 is before inst1.",,,,cco:interval_finished_by,owl:ObjectProperty,interval contains
has inside interval,interval during,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT2 has inside interval some Temporal Interval INT1 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before inst1, and inst2 is before inst4.",,,,cco:has_inside_interval,owl:ObjectProperty,interval contains
describes condition,,,,"p describes_condition c iff p is an instance of a Performance Specification, and p has part d, and d is an instance of a Descriptive Information Content Entity, and p prescribes an entity s, and d describes c, and c is an entity that is causally relevant to s existing as prescribed by p.",,,,cco:describes_condition,owl:ObjectProperty,
language used in,uses language,cco:Language,cco:InformationBearingEntity,"x language_used_by y iff y is an instance of Information Bearing Entity and x is an instance of Language, such that the literal value of y is a string that is encoded according to the syntax of x.",,,,cco:language_used_in,owl:ObjectProperty,prescribes
process starts,,,,"x process_starts y iff x and y are instances of processes, and x is_cause_of y, and i is an instance of a temporal instant, and r is an instant of a temporal interval, and y has starting instance i, and x occurs on r, and r interval contains i.",A process x starts another process y when x causes y while x is still occurring.,,,cco:process_starts,owl:ObjectProperty,is cause of
has last instant,,temporal region,temporal instant,,,t has last instant t' =Def t' last instant of t,The last hour of a year has last instant midnight December 31,obo:BFO_0000224,owl:ObjectProperty; owl:FunctionalProperty,
has material basis,,disposition,material entity,,,b has material basis c =Def b is a disposition & c is a material entity & there is some d bearer of b & there is some time t such that c is a continuant part of d at t & d has disposition b because c is a continuant part of d at t,,obo:BFO_0000218,owl:ObjectProperty,
last instant of,has last instant,temporal instant,temporal region,,,t last instant of t' =Def t is a temporal instant & t' is a temporal region & all temporal parts of t' other than t precede t,Last midnight is the last instant of yesterday,obo:BFO_0000223,owl:ObjectProperty,
temporal part of,,occurrent,occurrent,,,b temporal part of c =Def b occurrent part of c & (b and c are temporal regions) or (b and c are spatiotemporal regions & b temporally projects onto an occurrent part of the temporal region that c temporally projects onto) or (b and c are processes or process boundaries & b occupies a temporal region that is an occurrent part of the temporal region that c occupies),"Your heart beating from 4pm to 5pm today is a temporal part of the process of your heart beating; the 4th year of your life is a temporal part of your life, as is the process boundary which separates the 3rd and 4th years of your life; the first quarter of a game of football is a temporal part of the whole game",obo:BFO_0000139,owl:TransitiveProperty; owl:ObjectProperty,occurrent part of
member part of,,material entity,material entity,,,"b member part of c =Def b is an object & c is a material entity & there is some time t such that b continuant part of c at t & there is a mutually exhaustive and pairwise disjoint partition of c into objects x1, ..., xn (for some n â‰  1) with b = xi (for some 1 <= i <= n)",,obo:BFO_0000129,owl:ObjectProperty,continuant part of
interval overlapped by,interval overlaps,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT2 is overlapped by some Temporal Interval INT1 iff there exist Temporal Instants inst1, inst2, inst3, inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst1 is before inst3, inst3 is before inst2, and inst2 is before inst4.",,,,cco:interval_overlapped_by,owl:ObjectProperty,
time zone identifier used by,uses time zone identifier,cco:TimeZoneIdentifier,cco:InformationBearingEntity,"x time_zone_identifier_used_by y iff y is an instance of Information Bearing Entity and x is an instance of Time Zone Identifier, such that x designates the spatial region associated with the time zone mentioned in y.",,,,cco:time_zone_identifier_used_by,owl:ObjectProperty,generically depends on
is delimited by,,cco:Organization,cco:DelimitingDomain,An instance of Organization o1 is_delimited_by some Delimiting Domain dd1 iff dd1 is the area within which o1 can legally operate.,,,,cco:is_delimited_by,owl:ObjectProperty,
delimits,is delimited by,cco:DelimitingDomain,cco:Organization,An instance of Delimiting Domain dd1 delimits some Organization o1 iff dd1 is the area within which o1 can legally operate.,,,,cco:delimits,owl:ObjectProperty,
is subject of,,,cco:InformationContentEntity,A primitive relationship between an instance of an Entity and an instance of an Information Content Entity.,,,,cco:is_subject_of,owl:ObjectProperty,
is inside instant of,,zero-dimensional temporal region,one-dimensional temporal region,"For Temporal Instant t1 and Temporal Interval t2, t1 is inside instant of t2 if and only if there are Temporal Instants t3 and t4 non-identical to t1 and part of t2 such that t3 is before t1 and t4 is after t1.",,,,cco:is_inside_instant_of,owl:ObjectProperty,
is measurement unit of,uses measurement unit,cco:MeasurementUnit,cco:InformationBearingEntity,"x is_measurement_unit_of y iff y is an instance of Information Bearing Entity and x is an instance of Measurement Unit, such that x describes the magnitude of measured physical quantity mentioned in y.",,,,cco:is_measurement_unit_of,owl:ObjectProperty,generically depends on
uses reference system,,cco:InformationBearingEntity,cco:ReferenceSystem,"y uses_reference_system x iff y is an instance of Information Bearing Entity and x is an instance of Reference System, such that x describes the set of standards mentioned in y.",,,,cco:uses_reference_system,owl:ObjectProperty,is carrier of
condition described by,describes condition,,,"c condition_described_by p iff p is an instance of a Performance Specification, and p has part d, and d is an instance of a Descriptive Information Content Entity, and p prescribes an entity s, and d describes c, and c is an entity that is causally relevant to s existing as prescribed by p.",,,,cco:condition_described_by,owl:ObjectProperty,
is supervised by,supervises,cco:Person,cco:Person,"A person p1 is supervised by a person p2 by virtue of p1 being directed, managed, or overseen by p2.",,,,cco:is_supervised_by,owl:ObjectProperty,is affiliated with
uses measurement unit,,cco:InformationBearingEntity,cco:MeasurementUnit,"y uses_measurement_unit x iff y is an instance of Information Bearing Entity and x is an instance of Measurement Unit, such that x describes the magnitude of measured physical quantity mentioned in y.",,,,cco:uses_measurement_unit,owl:ObjectProperty,is carrier of
temporally projects onto,,spatiotemporal region,temporal region,,,(Elucidation) temporally projects onto is a relation between a spatiotemporal region s and some temporal region which is the temporal extent of s,The world line of a particle temporally projects onto the temporal region extending from the beginning to the end of the existence of the particle,obo:BFO_0000153,owl:ObjectProperty; owl:FunctionalProperty,
has agent,,,,"x has_agent y iff x is an instance of Process and y is an instance of Agent, such that y is causally active in x.",,,,cco:has_agent,owl:ObjectProperty,has participant
is excerpted from,,cco:InformationBearingEntity,cco:InformationBearingEntity,"An Information Bearing Entity b1 is excerpted from another Information Bearing Entity B2 iff b1 is part of some Information Bearing Entity B1 that is carrier of some Information Content Entity C1, B2 is carrier of some Information Content Entity C2, C1 is not identical with C2, b1 is carrier of some Information Content Entity c1, b2 is an Information Bearing Entity that is part of B2 and b2 is carrier of c1 (i.e. the same Information Content Entity as borne by b1).",,,,cco:is_excerpted_from,owl:ObjectProperty,
is organizational context of,,cco:Organization,role,"x is_organizational_context_of y iff x is an instance of an Organization and y is an instance of a Role and z is an instance of a Person, such that z's affiliation with x is a prerequisite for z bearing y, or x ascribes y to the bearer of y.",,,,cco:is_organizational_context_of,owl:ObjectProperty,
has participant,,process,[ rdf:type owl:Class ; owl:unionOf ( specifically dependent continuant generically dependent continuant [ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ] ) ],,,p has participant c =Def c participates in p,,obo:BFO_0000057,owl:ObjectProperty,
is a ordinal measurement of,is measured by ordinal,cco:OrdinalMeasurementInformationContentEntity,,"x is_a_ordinal_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale ordered by rank.",,,,cco:is_a_ordinal_measurement_of,owl:ObjectProperty,is a measurement of
is geospatial coordinate reference system of,uses geospatial coordinate reference system,cco:GeospatialCoordinateReferenceSystem,cco:InformationBearingEntity,"x is_geospatial_coordinate_reference_system_of y iff y is an instance of Information Bearing Entity and x is an instance of Geospatial Coordinate Reference System, such that x describes the set of standards mentioned in y.",,,,cco:is_geospatial_coordinate_reference_system_of,owl:ObjectProperty,is reference system of
interval overlaps,,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT1 overlaps some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, inst3, inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst1 is before inst3, inst3 is before inst2, and inst2 is before inst4.",,,,cco:interval_overlaps,owl:ObjectProperty,
has member part,member part of,material entity,material entity,,,b has member part c =Def c member part of b,,obo:BFO_0000115,owl:ObjectProperty,has continuant part
has occurrent part,occurrent part of,occurrent,occurrent,,,b has occurrent part c =Def c occurrent part of b,Mary's life has occurrent part Mary's 5th birthday,obo:BFO_0000117,owl:TransitiveProperty; owl:ObjectProperty,
is subsidiary of,,cco:Organization,cco:Organization,An Organization o2 is_subsidiary_of Organization o1 iff o1 controls o2 by having the capacity to determine the outcome of decisions about o2's financial and operating policies. ,,,,cco:is_subsidiary_of,owl:ObjectProperty,is affiliated with
is permitted by,permits,process,cco:ActionRegulation,"y is_permitted_by x at t iff: x is an instance of Action Regulation at time t, and y is an instance of Act at time t, and x prescribes that some agent may be agent in y.",,,,cco:is_permitted_by,owl:ObjectProperty,prescribed by
environs,,[ rdf:type owl:Class ; owl:unionOf ( site material entity ) ],[ rdf:type owl:Class ; owl:unionOf ( process process boundary ) ],,,b environs c =Def c occurs in b,Mouth environs process of mastication; city environs traffic,obo:BFO_0000183,owl:ObjectProperty,
is concretized by,concretizes,generically dependent continuant,[ rdf:type owl:Class ; owl:unionOf ( process specifically dependent continuant ) ],,,c is concretized by b =Def b concretizes c,,obo:BFO_0000058,owl:ObjectProperty,
is affiliated with,,[ rdf:type owl:Class ; owl:unionOf ( cco:Agent cco:Organization cco:Person ) ],[ rdf:type owl:Class ; owl:unionOf ( cco:Agent cco:Organization cco:Person ) ],"x is_affiliated_with y iff x and y are instances of Agent, such that they have any kind of social or business relationship.",,,,cco:is_affiliated_with,owl:ObjectProperty,
tangential part of,,immaterial entity,immaterial entity,An immaterial entity im1 is a tangential part of some immaterial entity im2 iff im1 is a spatial part of im2 and there exists some immaterial entity im3 such that im3 externally connects with im1 and im3 externally connects with im2.,,,,cco:tangential_part_of,owl:ObjectProperty,spatial part of
generically depends on,is carrier of,generically dependent continuant,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],,,b generically depends on c =Def b is a generically dependent continuant & c is an independent continuant that is not a spatial region & at some time t there inheres in c a specifically dependent continuant which concretizes b at t,,obo:BFO_0000084,owl:ObjectProperty,
is output of,,continuant,process,"x is_output_of y iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the end of y is a necessary condition for the completion of y.",,,,cco:is_output_of,owl:ObjectProperty,participates in
is site of,occurs at,site,process,"x is_site_of y iff x is an instance of Site and y is an instance of Process, such that y occurs in x.",,,,cco:is_site_of,owl:ObjectProperty,environs
externally connects with,,immaterial entity,immaterial entity,An immaterial entity im1 externally connects with some immaterial entity im2 iff im1 connects with im2 and im1 does not overlap with im2.,,,,cco:externally_connects_with,owl:ObjectProperty,connected with
permits,,cco:ActionRegulation,process,"x permits y at t iff: x is an instance of Action Regulation at time t, and y is an instance of Act at time t, and x prescribes that some agent may be agent in y.",,,,cco:permits,owl:ObjectProperty,prescribes
has history,,material entity,history,,,b has history c =Def c history of b,This organism has history this life,obo:BFO_0000185,owl:ObjectProperty,
is measured by ratio,,,cco:RatioMeasurementInformationContentEntity,"y is_measured_by_ratio x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale having equal unit values and a zero value that corresponds to the absence of the attribute being measured.",,,,cco:is_measured_by_ratio,owl:ObjectProperty,is measured by
affects,is affected by,process,continuant,"p affects c iff p is an instance of a Process and c is an instance of a Continuant, such that p influences c in some manner, most often by producing a change in c.",,,,cco:affects,owl:ObjectProperty,has participant
occupies spatiotemporal region,,[ rdf:type owl:Class ; owl:unionOf ( process process boundary ) ],spatiotemporal region,,,(Elucidation) occupies spatiotemporal region is a relation between a process or process boundary p and the spatiotemporal region s which is its spatiotemporal extent,A particle emitted by a nuclear reactor occupies the spatiotemporal region which is its trajectory,obo:BFO_0000200,owl:ObjectProperty; owl:FunctionalProperty,
interval met by,,one-dimensional temporal region,one-dimensional temporal region,A Temporal Interval INT2 is met by some Temporal Interval INT1 iff there exists some Temporal Instant inst1 such that inst1 is the starting instant of INT2 and inst1 is the ending instant of INT1.,,,,cco:interval_met_by,owl:ObjectProperty; owl:IrreflexiveProperty,interval disjoint
process started by,process starts,,,"x process_started_by y iff x and y are instances of processes, and x is caused_by y, and i is an instance of a temporal instant, and r is an instant of a temporal interval, and x has starting instance i, and y occurs on r, and r interval contains i.",A process x is started by another process y when y causes x while y is still occurring.,,,cco:process_started_by,owl:ObjectProperty,caused by
spatial part of,,immaterial entity,immaterial entity,"x spatial_part_of y iff x, y, z, and q are instances of Immaterial Entity, such that for any z connected with x, z is also connected with y, and q is connected with y but not connected with x.",,,,cco:spatial_part_of,owl:ObjectProperty,continuant part of; connected with
designated by,designates,,cco:DesignativeInformationContentEntity,"x designated_by y iff y is an instance of Information Content Entity and x is an instance of Entity, such that given some context, y uniquely distinguishes x from other entities.",,,,cco:designated_by,owl:ObjectProperty,is subject of
is measured by nominal,,,cco:NominalMeasurementInformationContentEntity,"y is_measured_by_nominal x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x classifies y relative to some set of shared, possibly arbitrary, characteristics.",,,,cco:is_measured_by_nominal,owl:ObjectProperty,is measured by
occurs in,environs,[ rdf:type owl:Class ; owl:unionOf ( process process boundary ) ],[ rdf:type owl:Class ; owl:unionOf ( site material entity ) ],,,"b occurs in c =Def b is a process or a process boundary & c is a material entity or site & there exists a spatiotemporal region r & b occupies spatiotemporal region r & for all time t, if b exists at t then c exists at t & there exist spatial regions s and s' where b spatially projects onto s at t & c occupies spatial region s' at t & s is a continuant part of s' at t",A process of digestion occurs in the interior of an organism; a process of loading artillery rounds into a tank cannon occurs in the interior of the tank,obo:BFO_0000066,owl:ObjectProperty,
is carrier of,,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],generically dependent continuant,,,b is carrier of c =Def there is some time t such that c generically depends on b at t,,obo:BFO_0000101,owl:ObjectProperty,
aggregate has capability,capability of aggregate,cco:GroupOfAgents,cco:AgentCapability,"x aggregate_has_capability y iff x is an instance of Object Aggregate and y is an instance of Agent Capability, such that x is aggregate bearer of y.",,,,cco:aggregate_has_capability,owl:ObjectProperty,aggregate bearer of
has subsidiary,is subsidiary of,cco:Organization,cco:Organization,An Organization o1 has_subsidiary Organization o2 iff o1 controls o2 by having the capacity to determine the outcome of decisions about o2's financial and operating policies.,,,,cco:has_subsidiary,owl:ObjectProperty,has affiliate
occurrent part of,,occurrent,occurrent,,,(Elucidation) occurrent part of is a relation between occurrents b and c when b is part of c,Mary's 5th birthday is an occurrent part of Mary's life; the first set of the tennis match is an occurrent part of the tennis match,obo:BFO_0000132,owl:TransitiveProperty; owl:ObjectProperty,
has first instant,,temporal region,temporal instant,,,t has first instant t' =Def t' first instant of t,The first hour of a year has first instant midnight on December 31,obo:BFO_0000222,owl:ObjectProperty; owl:FunctionalProperty,
connected with,,immaterial entity,immaterial entity,An immaterial entity im1 is connected with some immaterial entity im2 iff there exists some immaterial entity im3 that is common to both im1 and im2.,,,,cco:connected_with,owl:ObjectProperty,
instant is after,instant is before,zero-dimensional temporal region,zero-dimensional temporal region,A temporal instant t2 (a instance of a zero-dimensional temporal region) is after another temporal instant t1 iff there exists some instance of a temporal interval ti1 such that t1 is the starting instant of ti1 and t2 is the ending instant of ti1.,"'instant is after' is a primitive relationship. Informally, a temporal instant t2 is after some temporal instant t1 if and only if t1 precedes t2.",,,cco:instant_is_after,owl:TransitiveProperty; owl:ObjectProperty,
has capability,,cco:Agent,cco:AgentCapability,"x has_capability y iff x is an instance of Agent and y is an instance of Agent Capability, such that x bearer of y.",,,,cco:has_capability,owl:ObjectProperty,bearer of
accessory in,has accessory,material entity,process,"y is_accessory_in x iff x is an instance of Process and y is an instance of Agent, such that y assists another agent in the commission of x, and y was not located at the location of x when x occurred, and y was not an agent_in x.",,,,cco:accessory_in,owl:ObjectProperty,participates in
occupies temporal region,is temporal region of,[ rdf:type owl:Class ; owl:unionOf ( process process boundary ) ],temporal region,,,p occupies temporal region t =Def p is a process or process boundary & the spatiotemporal region occupied by p temporally projects onto t,"The Second World War occupies the temporal region September 1, 1939 - September 2, 1945",obo:BFO_0000199,owl:ObjectProperty; owl:FunctionalProperty,
